file,title,title_len,desc_len,canonical,robots,h1_count,schema_count,schema_types,broken_count,internal_redirect_count,missing_alt_count
index.html,Oryele AI Enterprise Execution Platform,39,143,https://oryele.ai/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",1,2,"Organization, ImageObject, Person, WebSite, WebPage, ImageObject, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
insurance.html,Oryele | Insurance Agencies,27,109,https://oryele.ai/insurance.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
integrations.html,Oryele | Integrations,21,72,https://oryele.ai/integrations.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
knowledge-management.html,Oryele | Knowledge Management,29,80,https://oryele.ai/knowledge-management.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
legal.html,Oryele | Legal Organizations,28,109,https://oryele.ai/legal.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
ocr.html,Oryele | OCR,12,136,https://oryele.ai/ocr.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
platform.html,Oryele | Platform,17,138,https://oryele.ai/platform.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
pricing.html,Oryele Pricing | Platform and Digital Workers,45,145,https://oryele.ai/pricing.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
privacy.html,Privacy Policy — Oryele,23,71,https://oryele.ai/privacy.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
resources.html,Oryele | Resources,18,98,https://oryele.ai/resources.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
sitemap.html,Oryele | Sitemap,16,128,https://oryele.ai/sitemap.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
sms-consent.html,SMS Policy — Oryele,19,75,https://oryele.ai/sms-consent.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
solutions.html,Oryele | Solutions,18,107,https://oryele.ai/solutions.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
terms.html,Terms & Conditions — Oryele,27,139,https://oryele.ai/terms.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
trust.html,Oryele | Trust Center,21,115,https://oryele.ai/trust.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
workflow-engine.html,Oryele | Workflow Engine,24,75,https://oryele.ai/workflow-engine.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
